,unique_locations,most_active_hour,weekend_activity,weekday_activity,amount_of_activity,room_transition_count,toilet,bathroom1,bedroom1,conservatory,dining_room,hallway,kitchen,living_room,lounge,study,average_consecutive_no_motion,longest_consecutive_no_motion,minimum_consecutive_no_motion,night,morning,afternoon,evening,distinct_days_with_activity,common,other,private,avg_peak_activity_window,multiple_occupancy
82,6,9,249,0,1447.0166666666667,156,1.3666666666666667,670.6,0.0,0.0,2.3833333333333333,546.0,42.016666666666666,0.0,184.65,0.0,5.811311914323962,503.8,0.0,0,110,70,69,31,205.0,4.0,40.0,16.0,1
83,7,18,0,506,1487.75,302,20.133333333333333,621.1666666666666,0.0,0.0,7.216666666666667,278.58333333333337,45.18333333333334,0.0,389.4,126.06666666666666,2.9402173913043477,422.1333333333333,0.0,2,147,180,177,31,413.0,14.0,79.0,18.0,1
84,7,14,0,680,1438.5833333333333,427,20.983333333333334,593.6333333333333,0.0,0.0,18.25,185.93333333333334,82.56666666666666,0.0,482.6,54.61666666666667,2.115563725490196,439.46666666666664,0.0,0,161,330,189,31,571.0,15.0,94.0,17.0,1
85,7,11,0,461,1456.95,286,18.03333333333333,520.8166666666667,0.0,0.0,10.816666666666666,324.5,60.88333333333333,0.0,520.4,1.5,3.160412147505423,445.53333333333336,0.0,0,133,193,135,31,385.0,17.0,59.0,17.0,1
86,7,18,0,482,1407.0333333333333,286,7.95,476.4166666666667,0.0,0.0,2.2666666666666666,335.76666666666665,46.56666666666667,0.0,426.3,111.76666666666667,2.919156293222683,403.18333333333334,0.0,0,149,156,177,31,409.0,5.0,68.0,17.0,1
87,7,11,0,515,1490.1,328,9.6,610.0833333333333,0.0,0.0,5.283333333333333,179.16666666666666,41.9,0.0,546.6666666666666,97.4,2.893398058252427,522.5333333333333,0.0,0,210,157,148,31,450.0,12.0,53.0,16.0,1
88,6,9,354,0,1410.2833333333333,230,11.6,578.1666666666667,0.0,0.0,9.716666666666667,210.61666666666667,94.21666666666667,0.0,505.9666666666667,0.0,3.9838512241054613,450.78333333333336,0.0,4,154,99,97,31,290.0,12.0,52.0,23.0,1
89,7,9,369,0,1471.1333333333332,224,7.783333333333333,61.233333333333334,596.8333333333334,0.0,0.0,288.8,45.983333333333334,0.0,457.75,12.75,3.9868112014453474,340.3833333333333,0.0,4,152,96,117,31,246.0,0.0,123.0,18.0,1
90,8,8,0,560,1423.6,328,25.266666666666666,145.48333333333335,642.05,0.0,1.8666666666666667,86.11666666666666,71.11666666666666,0.0,447.48333333333335,4.216666666666667,2.542142857142857,134.88333333333333,0.0,10,178,228,144,31,346.0,7.0,207.0,23.0,1
91,8,16,0,638,1402.2666666666667,363,10.15,103.16666666666666,605.45,0.0,0.6666666666666666,108.08333333333333,65.86666666666666,0.0,474.84999999999997,34.03333333333333,2.19791013584117,155.5,0.0,8,206,285,139,31,458.0,4.0,176.0,21.0,1
92,8,11,0,659,1419.9,296,17.516666666666666,38.35,587.6666666666666,0.0,3.4833333333333334,66.8,63.88333333333333,0.0,356.4666666666667,285.73333333333335,2.154628224582701,222.33333333333334,0.0,10,231,255,163,31,542.0,6.0,111.0,21.0,1
93,5,9,0,330,1161.2333333333333,147,0.0,98.38333333333333,390.68333333333334,0.0,0.0,37.25,404.78333333333336,0.0,230.13333333333333,0.0,3.529584599797366,238.58333333333334,0.0,2,138,132,58,16,222.0,0.0,108.0,19.0,1
94,5,15,0,464,1453.9166666666667,168,0.0,96.66666666666667,774.25,0.0,0.0,68.78333333333333,317.8333333333333,0.0,196.38333333333333,0.0,3.133441091954023,256.55,0.0,5,130,243,86,16,327.0,0.0,137.0,20.0,1
95,5,14,0,558,1402.8,262,0.0,29.849999999999998,661.25,0.0,0.0,41.666666666666664,487.98333333333335,0.0,182.05,0.0,2.5139784946236556,211.13333333333333,0.0,5,184,261,108,16,414.0,0.0,144.0,20.0,1
96,5,10,0,455,1461.6333333333332,206,0.0,64.5,731.0666666666666,0.0,0.0,23.25,372.98333333333335,0.0,269.83333333333337,0.0,3.212380952380952,374.21666666666664,0.016666666666666666,2,171,187,95,16,298.0,0.0,157.0,21.0,1
97,5,9,0,344,1421.4333333333334,129,0.0,73.71666666666667,710.15,0.0,0.0,51.46666666666666,578.1333333333333,0.0,7.966666666666667,0.0,4.132073643410853,292.75,0.06666666666666667,2,172,123,47,16,210.0,0.0,134.0,20.0,1
98,5,10,361,0,1473.9333333333334,144,0.0,98.0,681.2,0.0,0.0,76.28333333333333,550.2333333333333,0.0,68.21666666666667,0.0,4.0829178208679595,349.7,0.016666666666666666,2,116,108,135,16,262.0,0.0,99.0,19.0,1
99,5,12,410,0,1433.8166666666666,133,0.0,156.03333333333333,680.4833333333333,0.0,0.0,71.23333333333333,497.5833333333333,0.0,28.483333333333334,0.0,3.4971138211382113,255.58333333333334,0.016666666666666666,2,134,167,107,16,266.0,0.0,144.0,20.0,1
100,5,20,0,405,1464.9833333333333,163,0.0,32.71666666666667,613.65,0.0,0.0,224.25,491.5833333333333,0.0,102.78333333333333,0.0,3.6172427983539097,257.18333333333334,0.0,2,82,183,138,16,308.0,0.0,97.0,21.0,1
101,5,9,0,375,1419.6166666666666,141,0.0,108.1,671.8,0.0,0.0,23.75,566.0833333333334,0.0,49.88333333333333,0.0,3.7856444444444444,274.73333333333335,0.016666666666666666,8,131,129,107,16,251.0,0.0,124.0,23.0,1
102,5,12,0,496,1420.6,200,0.0,33.45,604.5166666666667,0.0,0.0,104.33333333333334,565.7666666666667,0.0,112.53333333333333,0.0,2.864112903225806,196.06666666666666,0.016666666666666666,9,186,221,80,16,364.0,0.0,132.0,21.0,1
103,5,9,0,377,1410.5,136,0.0,28.816666666666666,725.4,0.0,0.0,50.93333333333333,541.8666666666667,0.0,63.483333333333334,0.0,3.7413793103448274,254.23333333333332,0.016666666666666666,2,148,129,98,16,257.0,0.0,120.0,19.0,1
104,5,9,0,392,1494.8166666666666,166,0.0,235.1,722.6833333333334,0.0,0.0,52.86666666666667,474.95,0.0,9.216666666666667,0.0,3.8133078231292514,319.31666666666666,0.016666666666666666,2,151,145,94,16,262.0,0.0,130.0,19.0,1
